Asian,Black,Native,White,2+,Hispanic
0.0,0.0,0.0,0.0,0.0,0.0
0.94,16.43,1.08,78.05,1.5,2.0
0.74,0.12,0.19,94.74,1.43,2.79
0.65,1.11,0.23,94.48,1.35,2.2
0.7,5.23,0.45,88.69,2.06,2.88
0.88,16.01,0.46,77.4,2.01,3.23
0.0,0.0,0.0,0.0,0.0,0.0
0.73,1.14,0.46,94.43,1.09,2.14
0.63,0.0,0.0,95.14,0.63,3.33
0.71,0.0,0.0,94.99,1.87,1.62
2.84,0.0,0.0,85.64,2.84,8.01
0.68,0.39,0.2,95.07,1.22,2.44
0.49,6.35,0.36,88.72,1.73,2.34
0.0,0.0,0.0,91.06,0.0,4.47
0.6,13.52,0.67,80.9,2.05,2.25
0.58,11.53,0.68,83.11,1.76,2.34
0.0,4.9,0.0,87.41,0.0,5.59
0.99,1.77,0.33,92.68,1.9,2.34
0.58,11.25,0.42,83.59,1.83,2.32
0.69,0.0,0.0,90.41,0.49,8.2
0.0,4.12,0.0,93.42,0.86,0.92
0.68,8.76,0.54,85.93,1.68,2.41
0.0,0.0,0.0,93.31,0.0,4.6
0.58,11.25,0.42,83.59,1.83,2.32
0.75,0.69,0.08,95.21,1.03,2.25
0.0,0.0,0.0,0.0,0.0,0.0
0.81,10.41,0.67,83.88,1.94,2.29
0.5,19.17,1.01,74.88,2.1,2.34
0.0,0.0,0.0,97.57,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5,23.11,0.89,70.9,2.19,2.4
0.49,22.09,0.35,73.78,1.24,2.04
0.69,1.34,0.32,90.85,1.34,5.46
0.0,0.0,0.0,92.29,0.0,6.7
0.96,0.17,0.11,94.34,1.48,2.93
0.96,0.17,0.11,94.34,1.48,2.93
0.72,11.61,0.64,82.08,1.99,2.96
0.83,2.59,0.31,92.19,1.42,2.67
0.74,15.1,1.16,78.79,1.95,2.27
0.67,0.3,0.25,95.57,1.07,2.14
0.0,0.0,0.0,93.68,3.16,0.0
0.55,18.89,0.72,75.33,2.1,2.41
1.42,0.95,0.12,74.48,1.01,22.02
0.73,0.0,0.0,95.26,0.93,2.19
0.76,10.54,0.37,84.47,1.37,2.49
0.35,28.84,0.51,66.08,2.2,2.01
0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.21,0.14,93.87,0.7,4.53
0.62,22.76,0.52,71.71,2.21,2.19
0.6,7.13,0.57,87.73,1.59,2.39
0.0,0.0,0.0,0.0,0.0,0.0
13.76,0.61,0.0,80.78,1.69,3.15
3.13,32.11,1.36,57.83,2.41,3.15
0.56,19.9,0.79,74.02,2.16,2.57
0.57,8.77,1.1,85.44,1.74,2.39
1.17,0.39,0.0,95.55,0.89,2.0
0.64,16.22,0.54,78.09,1.81,2.69
0.73,0.26,0.29,95.29,1.12,2.3
0.55,11.79,0.76,82.58,1.89,2.43
0.68,36.39,0.47,58.11,2.39,1.97
0.68,8.76,0.54,85.93,1.68,2.41
0.67,0.78,2.05,90.06,1.94,4.5
0.81,4.51,0.54,89.26,1.88,3.0
0.0,0.0,0.0,93.63,2.7,3.21
0.47,25.72,0.74,68.39,2.3,2.39
0.0,0.0,0.0,0.0,0.0,0.0
0.48,20.66,0.92,73.56,2.25,2.14
0.0,0.0,0.0,0.0,0.0,0.0
0.81,10.41,0.67,83.88,1.94,2.29
0.0,0.0,0.0,97.22,0.0,0.0
0.79,0.52,0.16,95.32,0.97,2.25
0.0,0.0,0.0,96.14,0.0,0.0
79.7,4.33,0.0,11.48,2.83,0.0
0.58,9.7,0.69,84.64,1.86,2.54
0.0,0.0,0.0,95.37,0.0,4.63
0.0,0.0,0.0,96.43,0.0,1.98
0.89,0.0,0.0,93.61,1.51,3.73
0.68,0.0,0.0,94.92,0.98,3.15
0.71,0.73,0.31,94.9,1.23,2.11
0.0,0.0,1.51,92.19,1.76,3.78
94.58,0.38,0.0,2.74,1.92,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,93.43,0.0,4.55
0.0,0.0,0.0,93.5,0.0,4.07
0.51,0.43,0.15,95.77,1.07,2.07
0.66,0.52,0.34,94.89,1.26,2.33
0.89,1.71,1.0,92.81,1.38,2.21
0.93,11.58,0.5,83.2,1.72,2.08
0.48,26.54,0.73,67.7,2.34,2.21
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
89.33,0.0,0.0,6.18,3.37,0.0
0.68,10.94,0.0,84.9,1.55,1.94
0.36,6.86,0.52,88.75,1.78,1.74
0.5,0.43,0.08,95.14,0.95,2.9
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,96.11,1.51,1.94
0.0,0.0,0.0,82.21,10.43,6.75
0.0,0.0,0.0,0.0,0.0,0.0
77.46,0.0,0.0,6.44,3.97,8.97
0.59,0.32,0.49,95.36,1.13,2.11
0.0,0.0,0.0,91.18,0.0,4.9
0.55,0.57,0.28,94.76,1.46,2.38
1.66,3.36,0.55,89.91,1.56,2.96
0.0,0.0,0.79,96.51,0.67,1.57
0.52,14.92,0.62,79.55,2.04,2.34
0.48,21.7,0.68,72.77,2.24,2.13
0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.49,0.0,79.59,1.23,11.03
0.0,0.0,0.0,97.46,0.0,0.0
0.68,0.0,0.0,94.92,0.98,3.15
0.45,35.05,0.87,58.66,2.55,2.41
0.85,1.06,0.43,93.72,1.58,2.37
0.0,0.0,0.0,96.26,0.0,2.64
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,93.0,0.75,5.38
